@id,name:cy,name,highway,@lat,@lon
25744985,Heol Abertawe,Swansea Road,primary,,
25752532,Llys Enfys,Bryn Eithin,residential,,
25752536,Llys Enfys,Bryn Eithin,residential,,
25752964,Ffordd Glyndwr,Glyndwr Road,unclassified,,
25768630,Stryd Vernon,Vernon Street,residential,,
25768631,Stryd Hoo,Hoo Street,residential,,
25768632,Stryd Mansel,Mansel Street,residential,,
25789610,Rhodfa'r Gors,Gors Avenue,tertiary,,
25814022,Rhes Dafen,Dafen Row,residential,,
25814189,Heol Trostre,Trostre Road,secondary,,
25814191,Heol Trostre,Trostre Road,secondary,,
25816392,Heol Newydd,New Road,residential,,
25816394,Heol Newydd,,residential,,
25816395,Heol y Cwar,Quarry Road,residential,,
25829095,Heol yr Orsaf,Station Road,secondary,,
25829123,Heol yr Orsaf,Station Road,primary,,
25829132,Heol y Frenhines Victoria,Queen Victoria Road,tertiary,,
25850429,Stryd Bute,Bute Street,primary,,
25850431,Stryd Bute,Bute Street,primary,,
25906401,Llys Maes Ucha,High Meadow Court,residential,,
25906518,Ffordd Bryntirion,Bryntirion Road,tertiary,,
25959419,Ffordd Wern-Ddu,Wern-Ddu Road,tertiary,,
25960502,Heol Newydd,Heol Newydd / New Street,residential,,
25975941,Ffordd Pen-Y-Maes,Pen Y Maes Road,residential,,
25977250,Stryd Victoria,Victoria Street,residential,,
25982536,Ffordd Siliwen,,unclassified,,
25982538,Ffordd Treborth,Treborth Road,trunk,,
26084464,Stryd Ruskin,Ruskin Street,residential,,
26145664,yr Efail,The Forge,residential,,
26146761,Llys Ruddlan,Rhuddlan Court,residential,,
26170510,Heol Iarll,Earl Road,residential,,
26170511,Rhodfa Lansbury,Lansbury Avenue,residential,,
26170512,Heol Pellau,Pellau Road,residential,,
26170514,Heol Ty Fry,Ty Fry Road,residential,,
26414698,Maes Llysteg,Faircourt Meadow,residential,,
26414709,Cae Beddgelert,Beddgelert Field,residential,,
26414847,Clos Castell Newydd,Newcastell Close,residential,,
26414878,Coedfryn,Parkwood Heights,residential,,
26414888,Llys y Plas,Mansion Court,residential,,
26414944,Ton Tylluan,Owl Meadow,residential,,
26414946,Pant y Dryw,Wren Hollow,residential,,
26414952,Hafod Wen,Fair Summer Dwelling,residential,,
26418681,Cilgant Llansawel,Llansawel Crescent,residential,,
26427532,Ffordd Llaneurgain,Northop Road,primary,,
26434381,Stryd Fawr,High Street,living_street,,
26434445,Heol Senghennydd,Senghennydd Road,residential,,
26434464,Ffordd y Brenin,Kingsway,unclassified,,
26434468,Heol y Brodyr Llwydion,Greyfriars Road,unclassified,,
26435285,Heol y Dug,Duke Street,primary,,
26435288,Ffordd y Gogledd,North Road,primary,,
26435353,Plas Bute,Bute Place,primary,,
26437060,Heol y Frenhines,Queen Street,residential,,
26452468,Heol Merthyrmawr Gogledd,Merthyrmawr Road North,residential,,
26483579,Clos Golwg y Coed,Woodview Close,residential,,
26528502,Heol Ynysymaerdy,Ynysymaerdy Road,residential,,
26579110,Ffordd Bryngwyn,High Terrace,residential,,
